,id,star_names,distance,mass,radius,luminosity,Constellation,Right ascension,Declination,App.mag.,Spectraltype,Discovery year
0,0,Sun,0.000015813,1,1,1,,,,,,
1,1,Sun,0.000015813,1,1,1,,,,,,
2,2,Sun,0.000015813,1,1,1,,,,,,
3,3,Sun,0.000015813,1,1,1,,,,,,
4,4,Sun,0.000015813,1,1,1,,,,,,
5,5,Sun,0.000015813,1,1,1,,,,,,
6,6,Sun,0.000015813,1,1,1,,,,,,
7,7,Sun,0.000015813,1,1,1,,,,,,
8,8,Sirius,0008.6,2.1,1.71,25.4,,,,,,
9,9,Sirius,0008.6,2.1,1.71,25.4,,,,,,
10,10,Sirius,0008.6,2.1,1.71,25.4,,,,,,
11,11,Sirius,0008.6,2.1,1.71,25.4,,,,,,
12,12,Sirius,0008.6,2.1,1.71,25.4,,,,,,
13,13,Sirius,0008.6,2.1,1.71,25.4,,,,,,
14,14,Sirius,0008.6,2.1,1.71,25.4,,,,,,
15,15,Sirius,0008.6,2.1,1.71,25.4,,,,,,
16,16,Canopus,0310,15,71,"13,500",,,,,,
17,17,Canopus,0310,15,71,"13,500",,,,,,
18,18,Canopus,0310,15,71,"13,500",,,,,,
19,19,Canopus,0310,15,71,"13,500",,,,,,
20,20,Canopus,0310,15,71,"13,500",,,,,,
21,21,Canopus,0310,15,71,"13,500",,,,,,
22,22,Canopus,0310,15,71,"13,500",,,,,,
23,23,Canopus,0310,15,71,"13,500",,,,,,
24,24,Alpha Centauri,0004.4,1.1,1.2,2,,,,,,
25,25,Alpha Centauri,0004.4,1.1,1.2,2,,,,,,
26,26,Alpha Centauri,0004.4,1.1,1.2,2,,,,,,
27,27,Alpha Centauri,0004.4,1.1,1.2,2,,,,,,
28,28,Alpha Centauri,0004.4,1.1,1.2,2,,,,,,
29,29,Alpha Centauri,0004.4,1.1,1.2,2,,,,,,
30,30,Alpha Centauri,0004.4,1.1,1.2,2,,,,,,
31,31,Alpha Centauri,0004.4,1.1,1.2,2,,,,,,
32,32,Arcturus,0037,1.1,26,170,,,,,,
33,33,Arcturus,0037,1.1,26,170,,,,,,
34,34,Arcturus,0037,1.1,26,170,,,,,,
35,35,Arcturus,0037,1.1,26,170,,,,,,
36,36,Arcturus,0037,1.1,26,170,,,,,,
37,37,Arcturus,0037,1.1,26,170,,,,,,
38,38,Arcturus,0037,1.1,26,170,,,,,,
39,39,Arcturus,0037,1.1,26,170,,,,,,
40,40,Vega,0025,2.2,2.7,50,,,,,,
41,41,Vega,0025,2.2,2.7,50,,,,,,
42,42,Vega,0025,2.2,2.7,50,,,,,,
43,43,Vega,0025,2.2,2.7,50,,,,,,
44,44,Vega,0025,2.2,2.7,50,,,,,,
45,45,Vega,0025,2.2,2.7,50,,,,,,
