id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year
0,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
1,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
2,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
3,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
4,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
5,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
6,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
7,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
8,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
9,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
10,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
11,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
12,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
13,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
14,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
15,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
16,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
17,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
18,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
19,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
20,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
21,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
22,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
23,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
24,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
25,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
26,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
27,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
28,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
29,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
30,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,,37.7,M9.5,79,1.09,
31,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,,37.7,M9.5,79,1.09,
32,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,,37.7,M9.5,79,1.09,
